Team Name,Possessions Per Game
The Citadel,67.7875
Miss Valley St,67.756
Weber St,67.7077
Oakland,67.7045
West Virginia,67.7008
C Connecticut,67.6792
Campbell,67.6692
Boise St,67.6546
New Mexico St,67.6483
Holy Cross,67.6146
IU Indy,67.6103
Davidson,67.6062
J Madison,67.5925
Jacksonville St,67.592
Canisius,67.5702
Duquesne,67.4758
UCLA,67.4511
UNLV,67.4292
Illinois St,67.4246
Purdue,67.399
Elon,67.3944
McNeese,67.386
NC State,67.3806
Incarnate Word,67.3391
W Illinois,67.3085
FGCU,67.2841
UConn,67.2525
Kansas City,67.2228
E Tennessee St,67.1654
Wyoming,67.1613
Minnesota,67.1488
S Alabama,67.0287
Seton Hall,67.0285
Hofstra,67.0198
Tennessee,67.0099
Sacramento St,66.9767
Stonehill,66.9654
Oregon St,66.9621
Niagara,66.9417
N Iowa,66.9199
Richmond,66.9187
Saint Peter's,66.9102
Morehead St,66.8418
Nevada,66.8023
Rider,66.7886
Drexel,66.784
NC Greensboro,66.7215
St Bonaventure,66.6614
Merrimack,66.5663
NW State,66.5571
Marist,66.5467
Wofford,66.5375
Air Force,66.5254
Mercyhurst,66.4348
Towson,66.4113
Hou Christian,66.3971
Stony Brook,66.3218
Boston U,66.2565
Radford,66.1569
Coastal Car,66.0175
App State,65.9522
Saint Mary's,65.6838
American,65.6466
Houston,65.3829
Vermont,65.3532
Villanova,65.2728
Virginia,62.9395
Wagner,62.7558
N Texas,62.7316
Drake,61.9765
