Team Name,Points For,Points Against
auburn,2128,1710
alabama,2258,1978
florida,2094,1663
duke,2025,1519
tennessee,1939,1573
houston,1880,1433
purdue,2046,1816
texas-am,1863,1634
st-johns-ny,2033,1706
iowa-state,2036,1675
michigan-state,1982,1687
texas-tech,2060,1676
arizona,2033,1738
memphis,2065,1905
kentucky,2148,1907
wisconsin,2037,1762
