Team,Games Won,Championships Won
auburn,9913,681
alabama,8575,547
florida,9359,692
duke,9921,725
tennessee,9523,690
houston,10090,755
purdue,8938,529
texas-am,8823,523
st-johns-ny,9134,640
iowa-state,9805,650
michigan-state,9011,613
texas-tech,9912,716
arizona,10273,699
memphis,8106,417
kentucky,8934,518
wisconsin,9683,605
